mazo,archivo,color_banda_hex,peligro_nombre,peligro_poder,peligro_dano,peligro_cartas_gratis,peligro_arte_prompt,tecnica_nombre,tecnica_poder,tecnica_efecto,tecnica_texto_sabor,tecnica_arte_prompt,arte_generar_px,arte_final_px,carta_px
Noon,cartas/med1.jpg,#E0B14A,Three Hungry Bandits,4,2,3,"tres bandidos flacos y hambrientos amontonados compartiendo una sola mirada hostil, con las tripas sonando, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Tiger Fist,4,−1 ⚡,Roars like a kitten. Hits like a tiger.,"un monje novato lanzando un puñetazo recto hacia adelante con la cabeza fantasmal de un tigre rugiendo sobre su puño, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med2.jpg,#E0B14A,Mercenary with a Toy Sword,3,2,2,"un mercenario fanfarrón sosteniendo una espada de juguete de madera pintada de colores, completamente serio, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Crane Wing,2,+1 ⚡ si ganás,Grace over force.,"un monje novato en una postura elegante de ala de grulla, los brazos extendidos como plumas y el peso en una pierna, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med3.jpg,#E0B14A,"Doubt: ""Is Any of This Working?""",3,2,2,"un monje novato mirándose las propias manos con evidente duda, con signos de pregunta tenues flotando en el aire, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Renewed Faith,3,—,"Shifu never lied. Well, almost never.","un monje novato mirando hacia arriba con la convicción tranquila recuperada, con luz cálida y suave sobre la cara, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med4.jpg,#E0B14A,Uncontrollable Rage,4,3,3,"una figura de furia pura con la cara roja gruñendo, con vapor saliéndole de las orejas y los puños apretados, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Snake Fang,3,−1 👊 al peligro,,"un monje novato atacando con dos dedos rígidos como colmillos de serpiente, con la sombra de una serpiente enroscada detrás, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med5.jpg,#E0B14A,The Crooked Governor's Soldier,5,2,4,"un soldado con armadura y el escudo de un gobernador corrupto en el peto, con gesto despectivo y armado, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Leopard Stride,3,+1 🃏,Fast. Elegant. Confusing for the enemy.,"un monje novato saliendo disparado en una carrera baja y rápida, con estelas de manchas de leopardo detrás, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med6.jpg,#E0B14A,The Cupboard Calls,3,2,2,"una alacena abierta con un frasco de galletas adentro, iluminado como una reliquia sagrada, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Discipline,2,+2 ⚡,Shifu's cookies are still there. Untouched. You are a hero.,"un monje novato cerrando deliberadamente la puerta de una alacena sobre un frasco de galletas, con los ojos apretados de aguante, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med7.jpg,#E0B14A,Street-Corner Fake Master,4,2,3,"un charlatán callejero escandaloso con túnica llamativa haciendo una postura de kung fu falsa, obviamente un fraude, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Dragon Scale,3,+1 🃏 · +1 ⚡,You learned what NOT to do. That counts.,"un monje novato levantando el antebrazo para bloquear, con escamas de dragón brillantes formándose sobre su piel, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med8.jpg,#E0B14A,Broken Rope Bridge,3,3,2,"un puente colgante al que le faltan varias tablas sobre un barranco con niebla, con las sogas deshilachándose, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Bamboo Flight,4,−1 ⚡,You crossed the gorge. With style.,"un monje novato cruzando un barranco con una pértiga de bambú, con el arco del movimiento marcado detrás, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med9.jpg,#E0B14A,The Classmate Who Sold You Out,4,2,3,"un monje adolescente de cinturón verde alejándose con una bolsa de monedas, sin mirar atrás, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Loyalty,3,—,You forgave the traitor. Better person than fighter.,"un monje novato extendiendo una mano abierta para ayudar a alguien a levantarse, con expresión de perdón, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Noon,cartas/med10.jpg,#E0B14A,Sudden Sandstorm,5,3,4,"una pared de arena repentina barriendo el patio, con todo tapado en tonos ocres, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Desert Endurance,4,—,Sand in the eyes is just advanced training.,"un monje novato caminando hacia adelante entre la arena que vuela, con los ojos entrecerrados, sin inmutarse, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dusk,cartas/oca1.jpg,#C85450,The Bandit Chief,6,3,3,"un jefe bandido corpulento y lleno de cicatrices con capa de piel y una espada enorme mellada, sonriendo, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Tiger Roar,5,−2 ⚡,Now it really does roar like a tiger.,"un monje novato rugiendo con todo lo que tiene, con la cabeza translúcida de un tigre rugiendo junto a él, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
Dusk,cartas/oca2.jpg,#C85450,Silent Assassin,7,3,4,"un asesino enmascarado apenas visible, solo los ojos y una hoja fina reflejando la luz de la luna, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",Crane Flight,4,+2 ⚡ si ganás,You never saw him coming. He never saw you either.,"un monje novato en el aire en pleno vuelo de grulla, con una pierna recogida y los brazos abiertos como alas, ilustración de caricatura para una carta de juego de mesa, línea de tinta suelta y gruesa con manchas de acuarela planas, paleta cálida apagada, textura de papel crema, fondo simple y despejado, un solo sujeto centrado y grande, expresivo y con humor, ambientación de templo shaolin. NADA de fotorrealismo, ni 3D, ni brillos metálicos. FORMATO: imagen CUADRADA de 1024x1024 px; se coloca reducida dentro de la carta, no es el tamaño de la carta. Sin texto, sin letras, sin marcas de agua, sin bordes ni marcos.",1024x1024,265x265,815x1110
